@relation LoLDiamondData
@attribute gameId real
@attribute blueWins real
@attribute blueWardsPlaced real
@attribute blueWardsDestroyed real
@attribute blueFirstBlood real
@attribute blueKills real
@attribute blueDeaths real
@attribute blueAssists real
@attribute blueEliteMonsters real
@attribute blueDragons real
@attribute blueHeralds real
@attribute blueTowersDestroyed real
@attribute blueTotalGold real
@attribute blueAvgLevel real
@attribute blueTotalExperience real
@attribute blueTotalMinionsKilled real
@attribute blueTotalJungleMinionsKilled real
@attribute blueGoldDiff real
@attribute blueExperienceDiff real
@attribute blueCSPerMin real
@attribute blueGoldPerMin real
@attribute redWardsPlaced real
@attribute redWardsDestroyed real
@attribute redFirstBlood real
@attribute redKills real
@attribute redDeaths real
@attribute redAssists real
@attribute redEliteMonsters real
@attribute redDragons real
@attribute redHeralds real
@attribute redTowersDestroyed real
@attribute redTotalGold real
@attribute redAvgLevel real
@attribute redTotalExperience real
@attribute redTotalMinionsKilled real
@attribute redTotalJungleMinionsKilled real
@attribute redGoldDiff real
@attribute redExperienceDiff real
@attribute redCSPerMin real
@attribute redGoldPerMin real
@data
4452162573.0,0.0,20.0,3.0,1.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,15474.0,6.6,16611.0,231.0,28.0,331.0,-1585.0,23.1,1547.4,15.0,2.0,0.0,4.0,4.0,5.0,1.0,1.0,0.0,0.0,15143.0,7.2,18196.0,216.0,51.0,-331.0,1585.0,21.6,1514.3
4453038156.0,0.0,33.0,2.0,1.0,11.0,11.0,7.0,1.0,0.0,1.0,0.0,16695.0,7.0,18507.0,157.0,40.0,-1505.0,-635.0,15.7,1669.5,17.0,1.0,0.0,11.0,11.0,9.0,0.0,0.0,0.0,0.0,18200.0,7.0,19142.0,188.0,52.0,1505.0,635.0,18.8,1820.0
4515594785.0,1.0,18.0,1.0,1.0,7.0,1.0,11.0,1.0,1.0,0.0,0.0,17865.0,7.4,19102.0,238.0,53.0,3274.0,1659.0,23.8,1786.5,12.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,14591.0,6.8,17443.0,240.0,50.0,-3274.0,-1659.0,24.0,1459.1
4524924257.0,0.0,14.0,3.0,0.0,4.0,9.0,1.0,1.0,0.0,1.0,0.0,14979.0,6.6,17213.0,210.0,52.0,-3414.0,-1141.0,21.0,1497.9,20.0,3.0,1.0,9.0,4.0,11.0,0.0,0.0,0.0,0.0,18393.0,7.2,18354.0,229.0,51.0,3414.0,1141.0,22.9,1839.3
4516505202.0,1.0,15.0,3.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,15722.0,6.8,17896.0,224.0,51.0,-470.0,-187.0,22.4,1572.2,102.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,16192.0,7.0,18083.0,242.0,48.0,470.0,187.0,24.2,1619.2
4482120064.0,0.0,17.0,1.0,0.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,15015.0,6.8,16974.0,209.0,53.0,-1996.0,-1804.0,20.9,1501.5,18.0,3.0,1.0,7.0,3.0,13.0,0.0,0.0,0.0,0.0,17011.0,7.2,18778.0,237.0,51.0,1996.0,1804.0,23.7,1701.1
4523758462.0,1.0,14.0,1.0,1.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,19733.0,7.6,20862.0,263.0,56.0,5228.0,3378.0,26.3,1973.3,13.0,2.0,0.0,2.0,10.0,2.0,1.0,1.0,0.0,0.0,14505.0,6.8,17484.0,210.0,64.0,-5228.0,-3378.0,21.0,1450.5
4503636905.0,0.0,43.0,3.0,0.0,3.0,7.0,3.0,1.0,0.0,1.0,0.0,14852.0,6.8,16888.0,203.0,54.0,-1975.0,-1345.0,20.3,1485.2,17.0,14.0,1.0,7.0,3.0,6.0,0.0,0.0,0.0,0.0,16827.0,6.8,18233.0,218.0,53.0,1975.0,1345.0,21.8,1682.7
4486384947.0,1.0,21.0,4.0,1.0,5.0,4.0,11.0,0.0,0.0,0.0,0.0,16282.0,6.8,17378.0,213.0,49.0,882.0,512.0,21.3,1628.2,19.0,3.0,0.0,4.0,5.0,3.0,2.0,1.0,1.0,0.0,15400.0,6.6,16866.0,228.0,52.0,-882.0,-512.0,22.8,1540.0
4457103291.0,0.0,11.0,3.0,0.0,5.0,9.0,5.0,0.0,0.0,0.0,0.0,14994.0,7.0,17924.0,188.0,48.0,-3155.0,-2773.0,18.8,1499.4,15.0,1.0,1.0,9.0,5.0,9.0,0.0,0.0,0.0,0.0,18149.0,7.4,20697.0,219.0,56.0,3155.0,2773.0,21.9,1814.9
4472164226.0,1.0,14.0,3.0,1.0,11.0,6.0,15.0,1.0,1.0,0.0,0.0,18606.0,7.2,19254.0,214.0,45.0,2526.0,1625.0,21.4,1860.6,12.0,2.0,0.0,6.0,11.0,4.0,0.0,0.0,0.0,0.0,16080.0,7.0,17629.0,225.0,48.0,-2526.0,-1625.0,22.5,1608.0
4445294621.0,0.0,13.0,1.0,0.0,4.0,13.0,5.0,0.0,0.0,0.0,0.0,15878.0,6.8,16945.0,203.0,43.0,-2835.0,-2821.0,20.3,1587.8,15.0,3.0,1.0,13.0,4.0,14.0,1.0,1.0,0.0,0.0,18713.0,7.2,19766.0,209.0,45.0,2835.0,2821.0,20.9,1871.3
4480384157.0,0.0,17.0,2.0,0.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,15773.0,7.0,17562.0,238.0,56.0,-1254.0,-567.0,23.8,1577.3,16.0,3.0,1.0,6.0,4.0,10.0,1.0,1.0,0.0,0.0,17027.0,7.0,18129.0,231.0,60.0,1254.0,567.0,23.1,1702.7
4520898233.0,0.0,78.0,4.0,0.0,4.0,3.0,4.0,2.0,1.0,1.0,0.0,15906.0,6.8,19219.0,238.0,67.0,406.0,1283.0,23.8,1590.6,15.0,3.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,15500.0,7.0,17936.0,220.0,64.0,-406.0,-1283.0,22.0,1550.0
4522124566.0,1.0,33.0,3.0,0.0,6.0,9.0,10.0,0.0,0.0,0.0,0.0,16515.0,6.8,17223.0,208.0,45.0,-1020.0,493.0,20.8,1651.5,18.0,3.0,1.0,9.0,6.0,13.0,0.0,0.0,0.0,0.0,17535.0,6.6,16730.0,197.0,36.0,1020.0,-493.0,19.7,1753.5
4523978853.0,0.0,17.0,1.0,0.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,15415.0,6.2,16047.0,204.0,44.0,-2472.0,-1067.0,20.4,1541.5,19.0,2.0,1.0,8.0,4.0,13.0,1.0,1.0,0.0,0.0,17887.0,7.0,17114.0,221.0,36.0,2472.0,1067.0,22.1,1788.7
4507834811.0,1.0,18.0,1.0,0.0,8.0,6.0,9.0,1.0,1.0,0.0,0.0,17178.0,7.0,17854.0,209.0,44.0,1260.0,-55.0,20.9,1717.8,10.0,3.0,1.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,15918.0,6.8,17909.0,233.0,36.0,-1260.0,55.0,23.3,1591.8
4501319968.0,0.0,19.0,3.0,1.0,7.0,4.0,9.0,0.0,0.0,0.0,0.0,17226.0,7.0,18982.0,228.0,61.0,1857.0,2015.0,22.8,1722.6,14.0,4.0,0.0,4.0,7.0,2.0,1.0,1.0,0.0,0.0,15369.0,6.6,16967.0,202.0,49.0,-1857.0,-2015.0,20.2,1536.9
4519148589.0,0.0,105.0,5.0,1.0,8.0,6.0,13.0,1.0,1.0,0.0,0.0,17474.0,6.8,17436.0,217.0,53.0,1320.0,-413.0,21.7,1747.4,65.0,3.0,0.0,6.0,8.0,11.0,0.0,0.0,0.0,0.0,16154.0,6.8,17849.0,223.0,40.0,-1320.0,413.0,22.3,1615.4
4484877784.0,0.0,18.0,5.0,0.0,3.0,8.0,2.0,1.0,1.0,0.0,0.0,14905.0,6.8,17974.0,233.0,52.0,-3282.0,-1647.0,23.3,1490.5,18.0,3.0,1.0,8.0,3.0,12.0,0.0,0.0,0.0,0.0,18187.0,7.4,19621.0,225.0,52.0,3282.0,1647.0,22.5,1818.7
4466931235.0,1.0,22.0,7.0,1.0,9.0,4.0,10.0,1.0,1.0,0.0,0.0,18132.0,7.0,18076.0,228.0,40.0,2883.0,2111.0,22.8,1813.2,21.0,4.0,0.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,15249.0,6.2,15965.0,227.0,36.0,-2883.0,-2111.0,22.7,1524.9
4524189570.0,1.0,17.0,4.0,1.0,5.0,2.0,6.0,2.0,1.0,1.0,0.0,16053.0,6.8,17406.0,218.0,51.0,1703.0,1696.0,21.8,1605.3,15.0,2.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,14350.0,6.4,15710.0,206.0,48.0,-1703.0,-1696.0,20.6,1435.0
4503380070.0,0.0,12.0,3.0,0.0,6.0,4.0,7.0,0.0,0.0,0.0,0.0,16438.0,6.8,16989.0,203.0,32.0,608.0,-85.0,20.3,1643.8,19.0,2.0,1.0,4.0,6.0,4.0,1.0,1.0,0.0,0.0,15830.0,6.8,17074.0,206.0,44.0,-608.0,85.0,20.6,1583.0
4497858921.0,0.0,15.0,2.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,15634.0,6.8,16355.0,201.0,45.0,71.0,-359.0,20.1,1563.4,14.0,1.0,0.0,4.0,5.0,4.0,1.0,1.0,0.0,0.0,15563.0,6.8,16714.0,222.0,38.0,-71.0,359.0,22.2,1556.3
4509242024.0,1.0,40.0,2.0,0.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,16085.0,7.4,19076.0,204.0,56.0,275.0,872.0,20.4,1608.5,15.0,1.0,1.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0,15810.0,7.2,18204.0,223.0,62.0,-275.0,-872.0,22.3,1581.0
4524296550.0,0.0,24.0,3.0,0.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,14981.0,6.8,17082.0,235.0,52.0,-809.0,638.0,23.5,1498.1,17.0,2.0,1.0,4.0,3.0,7.0,2.0,1.0,1.0,0.0,15790.0,6.8,16444.0,218.0,50.0,809.0,-638.0,21.8,1579.0
4516034199.0,0.0,12.0,4.0,0.0,2.0,8.0,2.0,1.0,1.0,0.0,0.0,15421.0,7.2,19276.0,217.0,84.0,-2771.0,-1125.0,21.7,1542.1,14.0,2.0,1.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,18192.0,7.4,20401.0,234.0,64.0,2771.0,1125.0,23.4,1819.2
4504386463.0,0.0,20.0,2.0,1.0,5.0,6.0,4.0,1.0,0.0,1.0,0.0,15665.0,6.8,17716.0,203.0,48.0,-1730.0,-1236.0,20.3,1566.5,40.0,4.0,0.0,6.0,5.0,6.0,1.0,1.0,0.0,0.0,17395.0,7.0,18952.0,214.0,67.0,1730.0,1236.0,21.4,1739.5
4523799496.0,0.0,11.0,3.0,0.0,7.0,9.0,5.0,1.0,0.0,1.0,0.0,17528.0,7.2,19609.0,234.0,68.0,-904.0,1377.0,23.4,1752.8,18.0,1.0,1.0,9.0,7.0,9.0,1.0,1.0,0.0,0.0,18432.0,7.0,18232.0,227.0,40.0,904.0,-1377.0,22.7,1843.2
4379931850.0,0.0,18.0,2.0,0.0,3.0,6.0,3.0,1.0,0.0,1.0,0.0,15032.0,6.6,16832.0,213.0,48.0,-1683.0,-1363.0,21.3,1503.2,36.0,3.0,1.0,6.0,3.0,6.0,1.0,1.0,0.0,0.0,16715.0,7.0,18195.0,236.0,44.0,1683.0,1363.0,23.6,1671.5
4523858150.0,0.0,28.0,3.0,0.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,15483.0,6.8,17362.0,222.0,48.0,-3025.0,-1833.0,22.2,1548.3,41.0,0.0,1.0,11.0,4.0,16.0,1.0,1.0,0.0,0.0,18508.0,7.2,19195.0,213.0,39.0,3025.0,1833.0,21.3,1850.8
4459778854.0,1.0,36.0,1.0,0.0,10.0,6.0,12.0,0.0,0.0,0.0,0.0,19226.0,7.4,20118.0,231.0,44.0,3004.0,2300.0,23.1,1922.6,16.0,2.0,1.0,6.0,10.0,7.0,0.0,0.0,0.0,0.0,16222.0,7.0,17818.0,185.0,39.0,-3004.0,-2300.0,18.5,1622.2
4499523222.0,1.0,18.0,3.0,0.0,9.0,6.0,14.0,1.0,1.0,0.0,0.0,16945.0,6.8,17806.0,204.0,36.0,1574.0,761.0,20.4,1694.5,17.0,2.0,1.0,6.0,9.0,6.0,0.0,0.0,0.0,0.0,15371.0,6.8,17045.0,194.0,54.0,-1574.0,-761.0,19.4,1537.1
4477029310.0,1.0,12.0,2.0,1.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,15000.0,6.6,16493.0,233.0,16.0,-1036.0,-1423.0,23.3,1500.0,19.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,16036.0,7.0,17916.0,221.0,44.0,1036.0,1423.0,22.1,1603.6
4525037711.0,0.0,18.0,4.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,15888.0,7.4,19090.0,252.0,60.0,16.0,433.0,25.2,1588.8,39.0,4.0,0.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0,15872.0,7.0,18657.0,243.0,49.0,-16.0,-433.0,24.3,1587.2
4459414345.0,0.0,41.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,12925.0,6.4,15498.0,187.0,32.0,-6386.0,-4210.0,18.7,1292.5,12.0,1.0,1.0,10.0,1.0,6.0,1.0,0.0,1.0,1.0,19311.0,7.2,19708.0,247.0,56.0,6386.0,4210.0,24.7,1931.1
4505664040.0,1.0,14.0,4.0,1.0,11.0,2.0,9.0,0.0,0.0,0.0,0.0,19250.0,7.6,19703.0,251.0,48.0,5096.0,3310.0,25.1,1925.0,15.0,3.0,0.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,14154.0,6.4,16393.0,196.0,53.0,-5096.0,-3310.0,19.6,1415.4
4439587692.0,1.0,19.0,1.0,1.0,8.0,4.0,5.0,1.0,1.0,0.0,1.0,18355.0,7.0,18790.0,218.0,54.0,2756.0,1683.0,21.8,1835.5,13.0,5.0,0.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,15599.0,6.8,17107.0,200.0,57.0,-2756.0,-1683.0,20.0,1559.9
4508000311.0,1.0,15.0,2.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,13978.0,6.6,16429.0,180.0,44.0,-977.0,-1025.0,18.0,1397.8,12.0,4.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,14955.0,6.8,17454.0,218.0,56.0,977.0,1025.0,21.8,1495.5
4513365614.0,0.0,16.0,1.0,0.0,5.0,5.0,8.0,0.0,0.0,0.0,0.0,15851.0,6.8,17366.0,206.0,56.0,-808.0,-1655.0,20.6,1585.1,38.0,6.0,1.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,16659.0,7.2,19021.0,241.0,44.0,808.0,1655.0,24.1,1665.9
4473252742.0,0.0,14.0,0.0,0.0,7.0,9.0,5.0,0.0,0.0,0.0,0.0,16474.0,6.6,17408.0,209.0,50.0,-1559.0,-407.0,20.9,1647.4,22.0,4.0,1.0,9.0,7.0,13.0,1.0,1.0,0.0,0.0,18033.0,6.8,17815.0,206.0,53.0,1559.0,407.0,20.6,1803.3
4438138890.0,1.0,18.0,0.0,0.0,6.0,8.0,6.0,0.0,0.0,0.0,0.0,16590.0,7.0,18284.0,213.0,49.0,544.0,75.0,21.3,1659.0,12.0,1.0,1.0,8.0,6.0,7.0,0.0,0.0,0.0,0.0,16046.0,7.0,18209.0,182.0,44.0,-544.0,-75.0,18.2,1604.6
4467008289.0,1.0,22.0,4.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,0.0,15737.0,7.0,18634.0,217.0,53.0,1381.0,1017.0,21.7,1573.7,16.0,3.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,14356.0,7.0,17617.0,212.0,60.0,-1381.0,-1017.0,21.2,1435.6
4492625917.0,1.0,37.0,2.0,1.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,16990.0,7.4,19634.0,248.0,54.0,2031.0,1449.0,24.8,1699.0,15.0,1.0,0.0,3.0,5.0,5.0,1.0,1.0,0.0,0.0,14959.0,7.0,18185.0,210.0,68.0,-2031.0,-1449.0,21.0,1495.9
4502901044.0,0.0,14.0,4.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,15297.0,7.0,19210.0,246.0,56.0,131.0,370.0,24.6,1529.7,20.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,15166.0,7.2,18840.0,227.0,64.0,-131.0,-370.0,22.7,1516.6
4467732013.0,0.0,16.0,2.0,0.0,4.0,10.0,4.0,1.0,0.0,1.0,0.0,15651.0,7.0,17696.0,224.0,53.0,-2699.0,-2749.0,22.4,1565.1,30.0,2.0,1.0,10.0,4.0,11.0,1.0,1.0,0.0,0.0,18350.0,7.4,20445.0,201.0,54.0,2699.0,2749.0,20.1,1835.0
4514402510.0,0.0,17.0,0.0,1.0,5.0,7.0,7.0,1.0,1.0,0.0,0.0,15587.0,6.8,16746.0,181.0,63.0,-1672.0,-2698.0,18.1,1558.7,14.0,0.0,0.0,7.0,5.0,6.0,0.0,0.0,0.0,0.0,17259.0,7.4,19444.0,218.0,76.0,1672.0,2698.0,21.8,1725.9
4521277262.0,1.0,19.0,3.0,1.0,10.0,6.0,11.0,1.0,1.0,0.0,0.0,17777.0,7.2,18131.0,213.0,42.0,1201.0,316.0,21.3,1777.7,18.0,4.0,0.0,6.0,10.0,5.0,0.0,0.0,0.0,0.0,16576.0,6.8,17815.0,234.0,44.0,-1201.0,-316.0,23.4,1657.6
4521752962.0,1.0,29.0,3.0,1.0,7.0,5.0,5.0,2.0,1.0,1.0,0.0,16426.0,7.0,18407.0,222.0,55.0,-108.0,59.0,22.2,1642.6,14.0,4.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,16534.0,6.8,18348.0,247.0,44.0,108.0,-59.0,24.7,1653.4
4514070165.0,0.0,12.0,0.0,0.0,10.0,7.0,11.0,0.0,0.0,0.0,1.0,20278.0,7.2,19575.0,236.0,58.0,4633.0,2269.0,23.6,2027.8,20.0,1.0,1.0,7.0,10.0,6.0,1.0,1.0,0.0,0.0,15645.0,6.6,17306.0,182.0,45.0,-4633.0,-2269.0,18.2,1564.5
4525056568.0,0.0,18.0,4.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,13791.0,6.6,16437.0,191.0,62.0,-2262.0,-1391.0,19.1,1379.1,18.0,3.0,1.0,7.0,2.0,4.0,1.0,1.0,0.0,0.0,16053.0,6.8,17828.0,218.0,48.0,2262.0,1391.0,21.8,1605.3
4521255103.0,0.0,24.0,3.0,0.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,16505.0,7.0,17667.0,208.0,70.0,-49.0,500.0,20.8,1650.5,17.0,2.0,1.0,7.0,6.0,10.0,1.0,1.0,0.0,0.0,16554.0,6.8,17167.0,207.0,45.0,49.0,-500.0,20.7,1655.4
4510728488.0,1.0,18.0,2.0,1.0,6.0,4.0,4.0,1.0,1.0,0.0,0.0,17277.0,7.2,19610.0,229.0,54.0,1687.0,1089.0,22.9,1727.7,36.0,3.0,0.0,4.0,6.0,5.0,1.0,0.0,1.0,0.0,15590.0,7.2,18521.0,232.0,56.0,-1687.0,-1089.0,23.2,1559.0
4516919746.0,1.0,122.0,3.0,1.0,9.0,1.0,10.0,2.0,1.0,1.0,0.0,18269.0,7.2,19659.0,229.0,68.0,3933.0,2922.0,22.9,1826.9,14.0,3.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,14336.0,6.4,16737.0,233.0,40.0,-3933.0,-2922.0,23.3,1433.6
4499868617.0,0.0,12.0,4.0,0.0,4.0,10.0,3.0,1.0,1.0,0.0,0.0,14166.0,6.6,15959.0,203.0,41.0,-4061.0,-4397.0,20.3,1416.6,16.0,2.0,1.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,18227.0,7.4,20356.0,224.0,72.0,4061.0,4397.0,22.4,1822.7
4514234813.0,0.0,52.0,2.0,0.0,6.0,12.0,7.0,0.0,0.0,0.0,0.0,15456.0,6.6,16280.0,188.0,42.0,-4920.0,-3280.0,18.8,1545.6,15.0,1.0,1.0,12.0,6.0,11.0,1.0,0.0,1.0,1.0,20376.0,7.4,19560.0,240.0,62.0,4920.0,3280.0,24.0,2037.6
4513591449.0,0.0,19.0,2.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,15180.0,7.0,17773.0,210.0,52.0,-1705.0,-1839.0,21.0,1518.0,11.0,4.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,16885.0,7.2,19612.0,227.0,62.0,1705.0,1839.0,22.7,1688.5
4471416203.0,0.0,32.0,4.0,1.0,7.0,8.0,8.0,1.0,1.0,0.0,0.0,16179.0,6.8,16814.0,212.0,46.0,105.0,-1547.0,21.2,1617.9,24.0,5.0,0.0,8.0,7.0,5.0,1.0,0.0,1.0,0.0,16074.0,7.0,18361.0,200.0,42.0,-105.0,1547.0,20.0,1607.4
4521227315.0,1.0,14.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,16026.0,7.0,18490.0,233.0,57.0,-554.0,521.0,23.3,1602.6,11.0,1.0,1.0,5.0,3.0,6.0,1.0,1.0,0.0,0.0,16580.0,6.8,17969.0,234.0,44.0,554.0,-521.0,23.4,1658.0
4424144387.0,0.0,19.0,5.0,1.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,14850.0,6.8,17145.0,198.0,53.0,-1037.0,-1577.0,19.8,1485.0,18.0,4.0,0.0,5.0,4.0,5.0,1.0,1.0,0.0,0.0,15887.0,7.0,18722.0,241.0,44.0,1037.0,1577.0,24.1,1588.7
4517806218.0,0.0,16.0,2.0,1.0,9.0,8.0,7.0,1.0,0.0,1.0,0.0,17347.0,7.0,18573.0,202.0,62.0,-1144.0,480.0,20.2,1734.7,13.0,5.0,0.0,8.0,9.0,11.0,1.0,1.0,0.0,1.0,18491.0,7.0,18093.0,199.0,45.0,1144.0,-480.0,19.9,1849.1
4479974478.0,1.0,36.0,0.0,1.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,15887.0,6.8,17591.0,200.0,32.0,1173.0,953.0,20.0,1588.7,12.0,1.0,0.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0,14714.0,6.6,16638.0,186.0,63.0,-1173.0,-953.0,18.6,1471.4
4423018162.0,0.0,18.0,2.0,1.0,8.0,2.0,11.0,0.0,0.0,0.0,0.0,17399.0,7.0,19449.0,232.0,44.0,3194.0,2534.0,23.2,1739.9,13.0,3.0,0.0,2.0,8.0,2.0,1.0,1.0,0.0,0.0,14205.0,6.6,16915.0,208.0,51.0,-3194.0,-2534.0,20.8,1420.5
4518401885.0,0.0,13.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,0.0,0.0,13828.0,6.6,16629.0,204.0,38.0,-2622.0,-1136.0,20.4,1382.8,12.0,0.0,0.0,7.0,2.0,7.0,0.0,0.0,0.0,0.0,16450.0,6.8,17765.0,192.0,36.0,2622.0,1136.0,19.2,1645.0
